,0,1,2,3,4,5,6,7,8
0,137510366.6071764,-323476170.65219474,-16057115.131965876,294659576.7161501,14163651.654461106,-79450012.61374317,-28882860.59521547,-62306394.70043667,373418858.7157683
1,-765992.0012049079,-275280446.86156416,-22859045.632134814,293632402.42077476,14555720.886960601,-79553430.4161296,-28985953.18068506,-62344056.46810967,373415901.25209284
2,-109283572.79579392,-160098882.95704037,-29097745.90584221,289981373.135183,14929567.097709075,-79679701.70366871,-29095818.540929437,-62381192.35992061,373411374.0303032
3,-282657919.4066647,15175533.227192268,-34075509.98579039,283604387.4350764,15284674.976714116,-79829414.40467085,-29212525.6926205,-62417800.97271632,373405274.82348
4,219527702.90268105,163267235.49037027,-37094631.90467441,274399343.896156,15620483.90214042,-80003111.13560367,-29336143.652430348,-62453880.90334381,373397601.4047044
5,147519615.15940788,148354749.40823537,-37085783.76236074,262264141.09412295,15936161.83106702,-80201063.09184876,-29466741.437031057,-62489430.74865021,373388351.5470575
6,-80146431.72708592,7550082.942926109,-31541192.27468963,247144719.95202115,16230419.685459718,-80423084.4336748,-29604388.063094705,-62524449.10548196,373377523.0236201
7,40287761.721196994,-140410726.444853,-17801055.310962915,229206614.47919184,16501642.932662208,-80668663.86672863,-29749152.547293432,-62558934.57068628,373365113.6074732
8,-7141757.040976297,-111795795.54277894,4475421.4462182745,208813172.76988682,16748002.821933605,-80937075.87857199,-29901103.906299286,-62592885.74111,373351121.07169783
9,-45463774.23102005,27167767.447203197,26930608.630818114,186541391.6882419,16967447.05919029,-81227371.41342413,-30060311.156784307,-62626301.21360001,373335543.1893749
10,66370106.42671116,106675665.55847263,38941937.10454042,163112014.1422696,17157711.24391515,-81538389.30907059,-30226843.315420784,-62659179.585002966,373318377.7335854
11,-80024641.52601783,33266842.919517733,32990496.939197656,139230805.4686451,17316370.56414099,-81868807.99184726,-30400769.398880616,-62691519.452166125,373299622.4774104
12,80132820.69805951,-61339448.141785264,14075684.141079476,115439951.624677,17440798.735198867,-82217104.41538802,-30582158.423835903,-62723319.41193637,373279275.19393075
13,72727079.16788934,-68116484.21801537,-9673528.799907818,92240743.72283246,17528233.848620914,-82581619.90952776,-30771079.406958956,-62754578.0611604,373257333.6562275
14,-13400414.319636494,-8422073.475156628,-30454703.54839704,70134472.87557743,17575785.949754123,-82960567.75791633,-30967601.36492153,-62785293.99668513,373233795.6373816
15,-39068769.48512666,44261474.05646881,-41771538.38718444,49622430.195379764,17580390.041397564,-83351986.20165554,-31171793.314395957,-62815465.81535761,373208658.91047406
16,2076578.7121562865,40353651.48160458,-39587548.50361851,31137645.802847862,17538881.091234278,-83753813.44673145,-31383724.272054262,-62845092.11402443,373181921.2485857
17,26147126.149922267,1527143.8660535812,-29058327.91564785,14840105.851158202,17448077.830774542,-84163971.46295696,-31603463.254568595,-62874171.489532895,373153580.4247977
18,-29835988.766791277,-17498671.187635235,-20108544.71343599,821535.501628723,17304798.991528325,-84580382.22014502,-31831079.278610904,-62902702.53872971,373123634.2121911
19,36351218.78092122,-2480801.682733329,-19226427.795194555,-10826340.084422005,17105863.305005528,-85000967.68810824,-32066641.360853493,-62930683.85846169,373092080.3838465
20,-14394224.238791998,7795154.138227059,-16518657.969116721,-20011795.74567602,16848089.502716124,-85423649.83665964,-32310218.517968155,-62958114.04557595,373058916.7128453
21,-26675620.931729395,2418603.6984352777,-1817937.4148448892,-26701760.54114099,16528296.3161703,-85846350.6356121,-32561879.766627286,-62984991.69691904,373024140.97226816
22,-46351771.15533838,-4645633.076172626,19777232.818184458,-31097780.411128372,16143302.476878073,-86266992.05477843,-32821694.123502772,-63011315.409338206,372987750.9351963
23,5192511.734987151,-709835.675645133,39246418.814791664,-33460055.51627486,15689926.716349278,-86683496.0639715,-33089730.605266724,-63037083.77968019,372949744.3747104
24,42749960.39206743,6582588.879132876,46869568.18241935,-34048786.01721811,15164987.766094225,-87093784.63300414,-33366058.228591383,-63062295.40479195,372910119.0638917
25,-40996973.04992759,4704595.155994649,35963207.94236617,-33114208.5025453,14565680.301649228,-87495779.73168924,-33650746.01014879,-63086948.881520346,372868872.77582115
26,41351763.797802106,-9833891.43497771,12709635.954745531,-30867599.449891735,13891596.95190503,-87887403.32983974,-33943862.96661087,-63111042.80671224,372826003.2835796
27,36990701.720889375,-15247706.106315069,-13492407.210625403,-27513848.473833203,13146282.998768896,-88266577.3972683,-34245478.11464995,-63134575.77721443,372781508.360248
28,16355228.11342708,-12282004.015644215,-34293117.64729354,-23258739.366193265,12334177.901396332,-88631223.903788,-34555660.47093792,-63157546.389874,372735385.7789075
29,-825697.5627382584,-4918809.630063904,-46065694.2070879,-18308055.918795038,11459721.11894242,-88979264.81921151,-34874479.052146986,-63179953.24153786,372687633.31263906
30,-49346815.84575993,6280729.930895051,-48627962.19449739,-12843832.818369726,10527352.110562367,-89308622.1133518,-35202002.8749492,-63201794.92905298,372638248.73452365
31,-65336530.652871296,21978152.091171276,-43450742.42798946,-6974030.402059579,9541510.335411439,-89617217.75602174,-35538300.95601669,-63223070.04926583,372587229.817642
32,-42958798.84501186,38447763.48330042,-32207832.812886935,-866548.1850422639,8506635.252644751,-89902973.71703419,-35883442.31202151,-63243777.19902371,372534574.33507526
33,71141661.62825936,38449237.28503014,-16294514.640322082,5289792.246721562,7427166.321417652,-90163811.9662019,-36237495.95963575,-63263914.975173496,372480280.05990446
34,-2497664.7969768494,9063670.984634323,3233804.102405101,11306169.307272926,6307543.0008852035,-90397654.47333787,-36600530.9155315,-63283481.97456178,372424344.7652105
35,-68401686.43254556,-28577420.245937314,22817290.492226236,16993761.41065101,5152204.750202753,-90602423.20825484,-36972616.19638086,-63302476.79403582,372366766.22407436
36,-44296998.606766924,-47181993.08111012,38455070.46894237,22163746.97089614,3965591.028525483,-90776040.1407658,-37353820.818856016,-63320898.03044244,372307542.20957726
37,58806348.03395466,-29462765.4905762,47482986.58570562,26627304.40204825,2752141.2950085513,-90916427.2406834,-37744213.7996289,-63338744.28062828,372246670.49479973
38,-53232181.45773499,22884518.39348844,48841791.859101936,30195612.118147235,1516295.0088072848,-91021506.4778207,-38143864.155371696,-63356014.141440585,372184148.8528231
39,48279304.0915609,51744226.635465354,41776537.367256895,32714412.15438493,262491.6290767789,-91089199.82199062,-38552840.90275643,-63372706.209726006,372119975.05672824
40,-44422668.450788625,21377276.255258717,26305935.054195073,34167249.31131591,-1004377.6657844633,-91117429.24300574,-38971213.058455296,-63388819.08233146,372054146.87959594
41,20614396.083655603,-27323245.430315517,6061794.644807477,34570182.95182866,-2277372.638560137,-91104116.71067919,-39399049.63914028,-63404351.35610403,371986662.09450746
42,39544507.68240511,-52339981.2740196,-14412158.785509162,33937859.3025399,-3548139.9157621935,-91047188.74031568,-39836415.115991525,-63419301.62789047,371917518.47454363
43,32403247.33708342,-49379495.03714618,-31114350.25693989,32284711.64962525,-4808113.183461184,-90944590.0291884,-40283355.778220825,-63433668.49453753,371846713.79278535
44,-946936.458902128,-29222252.487514514,-42447070.28492607,29625180.58961086,-6048733.438078979,-90794276.0031797,-40739907.186430834,-63447450.55289248,371774245.8223138
45,-34868918.24479644,972314.1870209351,-48295819.93222262,25973706.71902388,-7261441.676037707,-90594235.0051241,-41206071.98427184,-63460646.39980197,371700112.3362099
46,10809735.016047845,31289930.335646413,-48781365.374517284,21344730.634390984,-8437678.893759038,-90342494.29890594,-41681813.8943446,-63473254.63211289,371624311.10755455
47,31091765.532912914,47864212.134914294,-44064507.23754142,15792727.382281855,-9568886.0876648,-90037089.33289298,-42167088.454766266,-63485273.84667216,371546839.90942866
48,18079931.55086877,41185433.18770599,-34639952.51013896,9534504.910261618,-10646504.254177105,-89676066.83423188,-42661839.92487515,-63496702.640326686,371467696.5149134
49,-27226638.821870714,22209291.08222713,-21737516.88294789,2835686.019221712,-11661974.389717646,-89257518.64518619,-43165967.448892534,-63507539.60992345,371386878.69708955
50,-13563413.044034205,4565152.435743671,-6760784.609545447,-4035911.38912542,-12606737.490708197,-88779547.88679855,-43679358.892260715,-63517783.352309376,371304384.22903824
51,26276089.29473623,-7888364.003566274,8886660.056492236,-10812469.413066732,-13472234.553570816,-88240273.08999065,-44201886.71054324,-63527432.46433116,371220210.8838404
52,-27944595.627000682,-17378095.255723722,23801232.8615881,-17226170.150890265,-14249906.574727327,-87637874.4252002,-44733361.719787,-63536485.54283585,371134356.4345769
53,30930217.162674002,-33102927.13411106,36579349.55216509,-23009195.70088285,-14931194.55059949,-86970545.80302939,-45273580.995875075,-63544941.18467012,371046818.6543288
54,2980480.704820797,-40369513.52125218,45817425.87464743,-27893728.161332335,-15507539.477609329,-86236494.29851386,-45822328.45025653,-63552797.986681215,370957595.31617725
55,-36971958.73132685,-28689893.849842157,50471869.89745654,-31611949.630525976,-15970382.352178646,-85434004.6901443,-46379310.29092574,-63560054.54571588,370866684.193203
56,37991239.948464915,1821928.334431257,50998518.76102543,-33955501.990770124,-16311164.170729209,-84561381.59970388,-46944212.882584445,-63566709.458621025,370774083.05848706
57,31123442.37055172,28940532.631759126,48458533.65612319,-34961358.85270779,-16521183.838774491,-83617071.73988421,-47516722.58993452,-63572761.32224342,370679789.68511045
58,26826711.904939234,39793200.89868298,44002505.92658046,-34752956.543579355,-16594139.334658973,-82600111.6579801,-48096504.30670826,-63578208.73343004,370583801.84615403
59,-17333615.6660536,33468648.923927553,38570513.16399208,-33449354.237027198,-16535393.384235635,-81509828.78351435,-48683137.04275984,-63583050.289027944,370486117.31469893
60,-27165899.5786724,15417012.892769119,32230607.581966728,-31166643.670229733,-16352709.903912852,-80346138.26288867,-49276178.336974405,-63587284.58588393,370386733.8638261
61,-25375841.20032483,-7594722.533857599,24832835.04961575,-28020916.580364764,-16052531.438079435,-79110276.61452398,-49875185.72823693,-63590910.22084471,370285649.26661646
62,18943378.61269187,-27723193.206128415,16227241.436051462,-24128264.704610344,-15640975.082647532,-77803805.80531844,-50479716.755432315,-63593925.79075728,370182861.29615104
63,7093943.703935878,-38397299.67407381,6263872.610384565,-19604779.780144233,-15124077.919745192,-76428367.81595385,-51089328.95744538,-63596329.89246871,370078367.7255107
64,-12757863.19584093,-43766341.37491953,-5207225.55827225,-14566553.544144336,-14507719.461353784,-74985762.19725901,-51703579.873161085,-63598121.12282576,369972166.3277767
65,10792445.324717715,-46658722.42649409,-18336007.20080746,-9129677.733789027,-13797742.535001079,-73477825.18451601,-52322027.04146431,-63599298.078675374,369864254.8760296
66,-9757610.449335665,-34264656.55048111,-32754949.717951372,-3410244.0862562526,-12999989.968214612,-71906393.01300724,-52944228.001240045,-63599859.35686439,369754631.14335066
67,10125826.718480745,599598.6593737192,-46026623.589801505,2475655.6612765267,-12120304.588522565,-70273301.9180148,-53569740.29137322,-63599803.55423975,369643292.9028208
68,1620715.0357824657,37344307.908034116,-55196122.56629801,8411929.771630973,-11164529.223452438,-68580388.134821,-54198121.45074883,-63599129.26764825,369530237.927521
69,-3409774.5645598853,52400523.17520734,-57305123.591416344,14279069.70166536,-10138506.700532056,-66829487.89870804,-54828929.01825166,-63597835.09393684,369415463.9905321
70,-24939297.556657977,31420593.85943777,-50321479.010191664,19927771.29744322,-9048079.847289287,-65022437.4449581,-55461720.532766625,-63595919.62995267,369298968.86493534
71,35512101.4427896,-15134957.450728565,-35968994.8613468,25140800.051300604,-7899091.491251836,-63161073.008853406,-56096053.533178896,-63593381.50658939,369180750.35785866
72,-29598470.767265145,-47958488.570541754,-16911319.808519308,29684793.068634167,-6697384.459947468,-61247230.82567632,-56731485.55837313,-63590219.490928784,369060806.41261774
73,-58045913.85851979,-56588285.87828851,4532632.518340383,33326387.45483936,-5448801.580903944,-59282747.130708925,-57367574.14723434,-63586432.38410027,368939135.00657606
74,-76041752.43657017,-41731184.72090151,26834422.391826145,35832220.315311745,-4159185.6816491773,-57269458.15923361,-58003876.838647455,-63582018.98723251,368815734.1170965
75,-68297465.49707925,-8485536.160135731,46456480.18942024,36968928.755447924,-2834379.5897107776,-55209200.14653244,-58639951.17149746,-63576978.14003521,368690601.7601227
76,-52707188.11702518,29611431.055770084,59272770.05640493,36502762.30339189,-1479838.5553653324,-53103809.32788775,-59275354.68466925,-63571308.836540416,368563736.105921
77,-49517473.369066924,57041906.17425811,61157256.13806149,34198420.17828349,-99467.51988385618,-50955121.93858164,-59909644.917047605,-63565010.10936093,368435135.36333793
78,101609725.67413783,57023060.01627675,49144552.300259724,29925959.90492307,1301838.975705767,-48764974.21389652,-60542379.407517694,-63558080.991109386,368304797.7412205
79,-95432395.52454463,21165559.148739662,25511753.303757917,23978422.53976558,2713677.682343336,-46535202.38911453,-61173115.69496428,-63550520.514398515,368172721.44841546
80,-45826656.010907575,-15448461.829468068,-3903868.3199006915,16754595.022177335,4124268.1739607826,-44267642.69951788,-61801411.318272345,-63542327.75526346,368038904.7371919
81,-7763460.898240313,-40594464.26451437,-32665158.02662575,8653264.29152631,5521830.0244899355,-41964131.3803889,-62426823.81632677,-63533501.963430054,367903346.03350997
82,23212576.049411323,-51125700.85181129,-54334961.272324964,73217.28717924654,6894582.807862678,-39626504.66700955,-63048910.72801251,-63524042.43204616,367766043.80675125
83,45242063.79832207,-40576412.051220044,-63479458.47877861,-8586759.05149578,8230746.098011002,-37256598.79466251,-63667229.59221459,-63513948.454260014,367626996.52629846
84,-39568671.722141564,-3116027.5300120115,-59236726.540503636,-16945709.068075612,9518539.468866263,-34856249.99862945,-64281337.94781772,-63503219.323219866,367486202.6615336
85,40568382.132948846,26217422.86363591,-43983375.29466535,-24693030.6981455,10746182.49436101,-32427294.51419307,-64890793.33370708,-63491854.33207336,367343660.68183863
86,-13895691.237187192,41930826.41945335,-20658457.34674457,-31532067.001172416,11901894.74842663,-29971568.576635335,-65495153.288767375,-63479852.82266632,367199369.1052933
87,-54664126.8527964,40530365.58610437,7763226.418545499,-37165189.49685913,12973895.804995038,-27490908.421238683,-66093975.35188359,-63467214.331632584,367053326.6447655
88,60461324.02900852,17172286.54099584,37247527.62461391,-41294769.70490796,13950405.237998268,-24987150.2832852,-66686817.06194076,-63453938.44430367,366905532.06182104
89,-61431789.66770086,-19832653.522813514,59911486.69803399,-43624821.80536458,14821285.281711558,-22462130.398057118,-67273235.9578237,-63440024.74601081,366755984.11802506
90,-60082760.00397233,-30476026.607772753,66419614.24600616,-43865930.61964916,15582968.811784457,-19917685.00083668,-67852789.57841736,-63425472.82208554,366604681.5749432
91,746442.8150265925,-4409328.570615265,50634706.16164051,-41838669.7035435,16234794.150722807,-17355650.326906044,-68425035.46260674,-63410282.25785907,366451623.19414073
92,39301391.53038981,24526404.5066916,19744988.767043795,-37796996.908905715,16781150.767084423,-14777862.611547653,-68989531.14927663,-63394452.63866301,366296807.73718333
93,-29311027.426511712,23065636.60607158,-16086542.082340248,-32103216.161611643,17227690.915939767,-12186158.090043616,-69545834.177312,-63377983.54982832,366140233.96563613
94,-11477948.356587524,-468095.26262019016,-48123242.8267176,-25119631.387538143,17580066.85235915,-9582372.997676045,-70093502.08559784,-63360874.631775446,365981900.6961536
95,18367563.482429802,-15923035.058793552,-67985057.9802073,-17208546.512561303,17843930.83141332,-6968343.569727331,-70632092.41301912,-63343125.74528022,365821806.9657456
96,-21803929.99521718,-882867.7094261162,-70330548.56119464,-8733335.162698276,18024935.10817268,-4345906.041479688,-71161162.6984606,-63324736.806207,365659951.86651075
97,32235019.041761316,10720880.759086745,-62005720.94627987,-28670.423380419612,18128731.937707733,-1716896.648215279,-71680270.48080721,-63305707.730420746,365496334.49054784
98,7574900.174052563,7929703.358789703,-51299489.96435118,8701622.28441099,18160973.575088695,916848.3747837022,-72188973.29894418,-63286038.43378571,365330953.92995536
99,-69017105.13308115,-1072461.435742715,-39849287.13255001,17286696.880843192,18127320.31750557,3553484.750115689,-72686828.69175602,-63265728.83216679,365163809.2768322
100,-83574519.86203435,-4889940.065326009,-28469074.604971476,25555707.28608382,18033472.374211535,6191128.2883159,-73173394.19812794,-63244778.84142843,364994899.62327695
101,98007655.60727262,1562097.413776157,-17962193.522736326,33337807.420300182,17885181.801520012,8827842.95285903,-73648227.35694467,-63223188.377435304,364824224.0613883
102,31927708.67574635,3378434.9887968963,-7991526.851288408,40462151.20365912,17688264.242155798,11461629.120808635,-74110885.70709132,-63200957.356052116,364651781.68326503
103,-85596686.9203124,-542600.4952674396,2419313.250770107,46757892.55632822,17448569.983637344,14090452.524434537,-74560926.78745279,-63178085.69314328,364477571.5810057
104,-98866642.29835051,-4502469.407736789,12949886.692901537,52054185.39847441,17171969.92741511,16712258.282074489,-74997908.1369139,-63154573.30457347,364301592.84670913
105,-109825784.17010629,-1437276.418961486,23517913.279889807,56180183.65026515,16864341.318783857,19324985.16822201,-75421387.29435956,-63130420.16971982,364123844.6359863
106,-89785502.4467205,8291399.569786451,37123450.24684303,58965041.23186788,16531549.007517077,21926584.35289178,-75830921.79867485,-63105626.522009194,363944326.35849833
107,91268275.75734302,4847679.16972254,57264792.51970464,60237912.06344959,16179411.51880161,24515053.330685508,-76226069.18874457,-63080192.65838097,363763037.48741865
108,-78829818.24304901,-13956947.176856408,76557806.76400688,59832254.02461591,15809291.579588175,27088541.435002044,-76606387.0034537,-63054118.875774235,363579977.4959204
109,67189919.62601352,-7990172.1518731555,83319270.01045674,57596528.70910372,15407303.557957621,29645442.643980138,-76971432.78168723,-63027405.471128665,363395145.8571773
110,-59018227.47425941,20209690.580105096,71974046.92645031,53440107.43425436,14964050.882102001,32184206.41069834,-77320764.06232986,-63000052.74138355,363208542.04436266
111,55472679.862563096,14818099.256478408,40945756.99756453,47531966.42841732,14472349.103836395,34703282.18823503,-77653938.38426673,-62972060.983477965,363020165.5306499
112,-55715981.111903645,-12731255.50876532,-1385004.7710539177,40106536.178600505,13925013.774975205,37201119.42966893,-77970513.28638268,-62943430.4943513,362830015.7892122
113,-29562828.98551379,-29343594.706724852,-44132035.92970137,31398247.17181061,13314860.447333064,39676167.58807866,-78270046.30756262,-62914161.570943125,362638092.2932234
114,37032474.972145565,-30383296.646767154,-76409134.02867334,21641529.89505468,12634898.845903896,42126681.94336384,-78552094.98669165,-62884254.510192506,362444394.5158566
115,64138207.43502255,-26950903.08601624,-89509671.11404401,11070814.835340418,11878915.388397021,44550141.08270835,-78816216.8626545,-62853709.60903883,362248921.9302852
116,53260836.30301872,-22968046.695469897,-83991884.44250682,-74802.62178494409,11040890.665700639,46943829.420117095,-79061969.47433618,-62822527.1644214,362051674.0096827
117,29254501.119287428,-15327743.045981549,-64826181.69314332,-11532145.411782265,10114805.268703252,49305031.36959521,-79288910.36062148,-62790707.47327988,361852650.2272226
