Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,25.528847,25.605770,25.432692,25.548077,21.451834,19050500
2014-05-28,25.538462,25.682692,25.509615,25.634615,21.524498,18933900
2014-05-29,25.663462,25.711538,25.528847,25.711538,21.589087,15625700
2014-05-30,25.615385,25.759615,25.576923,25.759615,21.629459,19690900
2014-06-02,25.682692,25.817308,25.586538,25.798077,21.661751,17808400
2014-06-03,25.721153,25.778847,25.644230,25.759615,21.629459,19387100
2014-06-04,25.711538,25.711538,25.519230,25.528847,21.435686,20768600
2014-06-05,25.519230,25.750000,25.432692,25.740385,21.613310,26043100
2014-06-06,25.759615,26.192308,25.730770,26.134615,21.944328,35086300
2014-06-09,26.019230,26.471153,25.971153,26.384615,22.154247,29413600
2014-06-10,26.259615,26.403847,26.192308,26.355770,22.130032,22716100
2014-06-11,26.269230,26.307692,26.019230,26.105770,21.920111,25710900
2014-06-12,26.057692,26.115385,25.855770,25.923077,21.766710,26772300
2014-06-13,25.846153,26.028847,25.846153,26.000000,21.831301,19896800
2014-06-16,25.913462,25.932692,25.721153,25.788462,21.653677,27748300
2014-06-17,25.759615,25.942308,25.653847,25.836538,21.694046,22150500
2014-06-18,25.846153,25.903847,25.663462,25.855770,21.710194,27286800
2014-06-19,25.634615,25.942308,25.634615,25.894230,21.929075,32869400
2014-06-20,25.980770,26.000000,25.836538,25.932692,21.961645,51748500
2014-06-23,26.009615,26.019230,25.576923,25.653847,21.725504,32494200
2014-06-24,25.634615,25.846153,25.490385,25.557692,21.644073,27475700
2014-06-25,25.451923,25.490385,25.326923,25.403847,21.513784,27311600
2014-06-26,25.442308,25.442308,25.192308,25.278847,21.407925,24085400
2014-06-27,25.278847,25.413462,25.221153,25.413462,21.521925,36561400
2014-06-30,25.423077,25.432692,25.211538,25.269230,21.399788,30847500
2014-07-01,25.259615,25.480770,25.250000,25.384615,21.497501,29187100
2014-07-02,25.336538,25.625000,25.326923,25.586538,21.668503,22135500
2014-07-03,25.778847,25.855770,25.750000,25.826923,21.872074,21334500
2014-07-07,25.769230,25.807692,25.653847,25.721153,21.782505,26273500
2014-07-08,25.596153,25.625000,25.336538,25.355770,21.473072,30269800
2014-07-09,25.413462,25.413462,25.250000,25.307692,21.432354,39333300
2014-07-10,25.125000,25.278847,25.096153,25.192308,21.334639,34568000
2014-07-11,25.182692,25.528847,25.115385,25.528847,21.619644,36857800
2014-07-14,25.605770,25.826923,25.596153,25.634615,21.709217,26284800
2014-07-15,25.721153,25.769230,25.528847,25.586538,21.668503,43097800
2014-07-16,25.663462,26.105770,25.634615,25.980770,22.002363,48863000
2014-07-17,25.884615,25.942308,25.576923,25.586538,21.668503,39050900
2014-07-18,25.740385,25.750000,25.240385,25.442308,21.546360,57619100
2014-07-21,25.317308,25.317308,24.730770,24.980770,21.155493,61716700
2014-07-22,25.067308,25.096153,24.855770,25.019230,21.188066,35916000
2014-07-23,25.067308,25.086538,24.913462,24.913462,21.098492,33343200
2014-07-24,24.951923,25.076923,24.903847,24.942308,21.122919,22891200
2014-07-25,24.971153,24.990385,24.740385,24.798077,21.000776,25619500
2014-07-28,24.682692,24.740385,24.461538,24.605770,20.837919,34299400
2014-07-29,24.586538,24.730770,24.471153,24.471153,20.723915,23430100
2014-07-30,24.596153,24.798077,24.423077,24.653847,20.878633,26871700
2014-07-31,24.548077,24.576923,24.182692,24.182692,20.479624,39515000
2014-08-01,24.105770,24.384615,23.798077,24.375000,20.642485,41806800
2014-08-04,24.355770,24.442308,24.134615,24.298077,20.577345,29546700
2014-08-05,24.134615,24.317308,23.990385,24.057692,20.373766,28802100
