Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,56.130001,56.330002,54.599998,54.619999,51.336739,3572800
2018-02-09,55.290001,55.639999,53.369999,55.000000,51.693897,2100300
2018-02-12,55.520000,56.020000,55.389999,55.720001,52.370617,1383000
2018-02-13,56.240002,56.470001,56.020000,56.040001,52.671383,1596200
2018-02-14,55.369999,57.169998,55.299999,57.130001,53.695866,1109600
2018-02-15,56.889999,57.020000,56.150002,56.840000,53.423294,3285900
2018-02-16,56.820000,57.480000,56.799999,57.130001,53.695866,2434100
2018-02-20,57.160000,57.630001,56.910000,57.029999,53.601875,1233100
2018-02-21,57.529999,57.770000,56.639999,56.639999,53.235313,1538700
2018-02-22,57.389999,57.959999,57.250000,57.529999,54.071819,1545200
2018-02-23,58.020000,58.450001,57.860001,58.380001,54.870728,1071300
2018-02-26,58.490002,58.529999,58.070000,58.439999,54.927120,1110300
2018-02-27,58.259998,58.320000,57.349998,57.459999,54.006023,1020100
2018-02-28,57.950001,58.000000,56.650002,56.689999,53.282310,1712800
2018-03-01,56.430000,56.959999,56.070000,56.529999,53.131927,1757800
2018-03-02,56.070000,56.560001,55.740002,56.540001,53.141327,945400
2018-03-05,56.130001,57.000000,56.029999,56.830002,53.413898,750000
2018-03-06,57.369999,57.630001,56.990002,56.990002,53.564281,1144900
2018-03-07,57.119999,57.389999,56.700001,57.150002,53.714664,1004600
2018-03-08,57.419998,57.540001,56.990002,57.189999,53.752254,545600
2018-03-09,57.099998,57.349998,57.029999,57.240002,53.799252,954700
2018-03-12,57.400002,57.669998,57.240002,57.470001,54.015430,870500
2018-03-13,58.389999,58.509998,57.549999,57.660000,54.194000,923200
2018-03-14,58.480000,58.480000,58.000000,58.209999,54.710941,1269300
2018-03-15,57.360001,57.419998,56.900002,57.230000,54.504894,1404100
2018-03-16,57.200001,57.919998,57.200001,57.779999,55.028709,897200
2018-03-19,57.340000,57.389999,56.860001,57.020000,54.304897,623600
2018-03-20,56.500000,56.900002,56.400002,56.799999,54.095371,1195200
2018-03-21,56.689999,57.639999,56.650002,57.330002,54.600136,1368200
2018-03-22,56.790001,56.970001,56.349998,56.580002,53.885849,901400
2018-03-23,56.820000,57.040001,56.200001,56.279999,53.600132,926200
2018-03-26,57.340000,57.619999,56.770000,57.599998,54.857277,1252800
2018-03-27,57.250000,57.389999,56.400002,56.560001,53.866802,1548500
2018-03-28,56.529999,56.820000,56.150002,56.200001,53.523941,2094800
2018-03-29,56.820000,57.730000,56.730000,57.689999,54.942993,1787300
2018-04-02,57.709999,57.750000,56.299999,56.810001,54.104897,2372300
2018-04-03,57.680000,58.099998,57.240002,58.099998,55.333466,3623200
