Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,38.529999,38.709999,37.770000,37.840000,36.056324,4894500
2018-02-02,37.750000,38.150002,37.639999,37.720001,35.941986,5533600
2018-02-05,37.720001,38.070000,36.830002,36.919998,35.179688,7002300
2018-02-06,36.509998,36.820000,35.570000,36.470001,34.750908,12573000
2018-02-07,36.470001,37.689999,36.090000,36.150002,34.445995,8553400
2018-02-08,36.160000,36.849998,35.950001,35.980000,34.284000,11328600
2018-02-09,36.150002,37.099998,35.869999,36.860001,35.122524,10826800
2018-02-12,36.900002,37.330002,36.560001,37.169998,35.417908,7420700
2018-02-13,37.040001,37.180000,36.419998,37.009998,35.265446,7408600
2018-02-14,36.570000,37.060001,36.220001,36.599998,35.202930,7662800
2018-02-15,36.720001,37.509998,36.619999,37.500000,36.068577,6799200
2018-02-16,37.599998,37.980000,37.430000,37.779999,36.337891,9447600
2018-02-20,37.730000,38.099998,37.470001,37.680000,36.241707,9892100
2018-02-21,37.680000,37.759998,37.020000,37.060001,35.645374,14813800
2018-02-22,37.180000,37.520000,36.930000,37.240002,35.818508,8085300
2018-02-23,37.360001,38.279999,37.180000,38.240002,36.780334,5400500
2018-02-26,38.290001,38.400002,37.860001,38.029999,36.578342,5324200
2018-02-27,38.029999,38.490002,37.240002,37.240002,35.818508,6734500
2018-02-28,37.299999,37.660000,37.040001,37.040001,35.626141,7602000
2018-03-01,37.180000,37.549999,36.650002,36.939999,35.529957,5238400
2018-03-02,36.970001,37.139999,36.500000,36.919998,35.510715,5339900
2018-03-05,36.849998,37.750000,36.669998,37.680000,36.241707,5684500
2018-03-06,37.689999,37.730000,37.020000,37.169998,35.751167,6534000
2018-03-07,37.049999,37.200001,36.570000,36.820000,35.414536,4875100
2018-03-08,36.860001,37.520000,36.740002,37.450001,36.020485,4566100
2018-03-09,37.490002,37.570000,37.009998,37.500000,36.068577,7714800
2018-03-12,37.549999,37.650002,37.220001,37.529999,36.097435,8515000
2018-03-13,37.669998,38.029999,37.209999,37.439999,36.010868,6515800
2018-03-14,37.509998,38.080002,37.509998,37.830002,36.385983,5338400
2018-03-15,37.830002,38.209999,37.700001,37.869999,36.424454,5461100
2018-03-16,37.959999,38.540001,37.900002,38.380001,36.914989,11779500
2018-03-19,38.430000,38.570000,37.910000,38.220001,36.761101,6117000
2018-03-20,38.290001,38.590000,38.150002,38.310001,36.847660,9898800
2018-03-21,38.360001,38.730000,37.950001,38.070000,36.616817,7642700
2018-03-22,38.099998,39.080002,38.099998,38.369999,36.905369,5613200
2018-03-23,38.419998,38.580002,37.630001,37.709999,36.270561,4704900
2018-03-26,37.900002,38.160000,37.750000,38.099998,36.645672,3397100
2018-03-27,38.139999,38.849998,37.990002,38.470001,37.001556,5743200
2018-03-28,38.580002,38.970001,38.459999,38.540001,37.068882,7685300
2018-03-29,38.810001,39.320000,38.759998,39.009998,37.520939,6223800
2018-04-02,39.099998,39.160000,37.970001,38.259998,36.799564,7398700
2018-04-03,38.250000,38.930000,38.180000,38.750000,37.270863,6064200
2018-04-04,38.660000,38.799999,38.250000,38.779999,37.299717,4286100
2018-04-05,38.799999,39.119999,38.410000,39.000000,37.511318,4428000
2018-04-06,38.980000,39.090000,38.450001,38.630001,37.155441,3475600
2018-04-09,38.709999,38.889999,38.490002,38.590000,37.116970,3835300
2018-04-10,38.580002,38.849998,38.410000,38.669998,37.193916,5597600
2018-04-11,38.650002,38.650002,38.389999,38.480000,37.011169,3765400
2018-04-12,38.119999,38.529999,37.450001,37.759998,36.318649,9585100
2018-04-13,38.060001,38.720001,38.029999,38.340000,36.876518,5489900
2018-04-16,38.520000,38.689999,38.270000,38.590000,37.116970,4767900
2018-04-17,38.700001,39.160000,38.619999,39.070000,37.578651,4973000
2018-04-18,39.180000,39.540001,38.939999,38.939999,37.453609,4157400
2018-04-19,38.900002,39.029999,38.580002,38.959999,37.472843,3196200
2018-04-20,38.990002,39.000000,38.400002,38.599998,37.126583,4593100
2018-04-23,38.720001,39.060001,38.490002,38.660000,37.184299,4383300
2018-04-24,38.840000,39.619999,38.740002,39.180000,37.684448,5237600
2018-04-25,39.009998,39.189999,38.700001,39.160000,37.665215,3818900
2018-04-26,39.220001,39.650002,39.150002,39.509998,38.001854,4011000
2018-04-27,39.419998,39.959999,39.410000,39.849998,38.328873,3301500
2018-04-30,39.919998,39.990002,39.610001,39.680000,38.165363,6805300
2018-05-01,40.000000,40.430000,39.880001,40.150002,38.617424,14136000
2018-05-02,40.380001,40.590000,39.919998,40.380001,38.838646,8072900
2018-05-03,40.299999,41.189999,40.040001,40.849998,39.290703,8154000
2018-05-04,40.900002,41.209999,40.880001,41.080002,39.511925,4187100
2018-05-07,41.130001,41.560001,41.099998,41.299999,39.723526,6937900
2018-05-08,41.169998,41.189999,40.570000,40.740002,39.184906,9583000
2018-05-09,40.709999,40.790001,39.910000,39.970001,38.444294,6292900
2018-05-10,40.299999,40.619999,40.160000,40.599998,39.050247,4839500
2018-05-11,40.549999,40.759998,40.349998,40.639999,39.088722,3393000
2018-05-14,40.450001,40.549999,40.080002,40.340000,39.132374,4226800
2018-05-15,40.080002,40.310001,39.869999,40.209999,39.006268,8295900
2018-05-16,40.110001,40.270000,39.580002,39.790001,38.598835,4343600
2018-05-17,39.840000,40.000000,39.250000,39.349998,38.172009,6401700
2018-05-18,39.419998,39.669998,39.099998,39.439999,38.259315,6491400
2018-05-21,39.540001,39.709999,39.110001,39.639999,38.453327,4903800
2018-05-22,39.630001,40.119999,39.619999,39.869999,38.676445,5331000
2018-05-23,39.950001,40.349998,39.900002,40.299999,39.093575,6508700
2018-05-24,40.180000,40.549999,39.939999,40.529999,39.316685,6119200
2018-05-25,40.490002,40.889999,40.419998,40.669998,39.452492,4390200
2018-05-29,40.490002,40.889999,40.330002,40.709999,39.491299,6144200
2018-05-30,40.680000,41.389999,40.450001,41.220001,39.986031,6727100
2018-05-31,41.169998,41.720001,40.910000,41.389999,40.150936,6176600
2018-06-01,41.389999,41.400002,40.410000,40.990002,39.762917,6910600
2018-06-04,41.090000,41.340000,40.419998,40.540001,39.326389,6684700
2018-06-05,40.700001,40.750000,40.230000,40.430000,39.219677,4926400
2018-06-06,40.650002,40.650002,39.650002,39.709999,38.521236,6190400
2018-06-07,39.740002,40.529999,39.630001,40.139999,38.938358,6097000
2018-06-08,40.080002,40.310001,39.740002,40.000000,38.802547,5415300
2018-06-11,40.000000,40.220001,39.730000,39.930000,38.734646,4346300
2018-06-12,39.930000,40.560001,39.910000,40.490002,39.277882,7251300
2018-06-13,40.610001,41.130001,40.360001,40.520000,39.306988,5449400
2018-06-14,40.520000,41.119999,40.400002,41.070000,39.840519,5081700
2018-06-15,40.970001,41.570000,40.580002,41.490002,40.247948,11009600
2018-06-18,41.430000,41.840000,41.430000,41.720001,40.471062,4843900
2018-06-19,41.750000,42.139999,41.250000,41.610001,40.364357,6770700
2018-06-20,41.700001,41.939999,41.410000,41.799999,40.548668,3896700
2018-06-21,41.709999,41.910000,41.189999,41.430000,40.189739,6895000
