Date,0,1,2,3,4,5,6,7,8
12/30/2016,0.03084673,-0.414613674,-0.762813218,0.214937823,1.592340345,-1.73701405,-20.7220224,1.664547615,32.46093354
12/29/2016,-0.189313771,-0.551761524,-0.723765114,0.220000561,1.584306946,-1.73683067,-20.71420654,1.666681918,32.4520312
12/28/2016,0.208227127,-0.766088346,-0.650377618,0.223103915,1.568156205,-1.736292381,-20.70570384,1.668881459,32.44295062
12/27/2016,0.105530117,-0.723606881,-0.542630713,0.223610657,1.544171298,-1.735396416,-20.69651622,1.671145903,32.43369196
12/23/2016,-0.270561701,-0.377588367,-0.412313154,0.22062501,1.512893949,-1.734138894,-20.68664669,1.67347478,32.4242555
12/22/2016,0.299785477,0.140082566,-0.274165889,0.21321985,1.47489723,-1.732515932,-20.67609829,1.675867622,32.41464151
12/21/2016,0.054730078,0.474915279,-0.142929865,0.200468049,1.430754214,-1.73052365,-20.66487406,1.67832396,32.40485029
12/20/2016,-0.325327326,0.614460084,-0.033346032,0.181442484,1.381037973,-1.728158165,-20.65297702,1.680843324,32.39488211
12/19/2016,-0.165389926,0.609352786,0.040734258,0.155216027,1.326321581,-1.725415596,-20.64041021,1.683425245,32.38473726
12/16/2016,0.294398253,0.47069364,0.072674058,0.121182654,1.26717811,-1.722292061,-20.62717665,1.686069254,32.37441603
12/15/2016,-0.129561538,0.210522056,0.071085002,0.080285894,1.204180632,-1.71878368,-20.61327937,1.688774882,32.36391869
12/14/2016,-0.219744983,-0.069933159,0.047174126,0.034851011,1.137902221,-1.714886569,-20.59872141,1.69154166,32.35324553
12/13/2016,0.177286997,-0.253932703,0.011883304,-0.01253157,1.068915948,-1.710596847,-20.5835058,1.694369118,32.34239684
12/12/2016,-0.139086446,-0.283532054,-0.023845589,-0.059271426,0.997794887,-1.705910634,-20.56763556,1.697256761,32.33137292
12/9/2016,0.052425567,-0.210292411,-0.050050243,-0.102778134,0.925112111,-1.700824047,-20.55111373,1.700203988,32.32017419
12/8/2016,0.088877822,-0.077424847,-0.060881684,-0.140461271,0.851440691,-1.695333204,-20.53394334,1.70321017,32.30880109
12/7/2016,0.02658159,0.064364202,-0.051842198,-0.170138968,0.777353701,-1.689434225,-20.51612741,1.706274679,32.29725406
12/6/2016,-0.076368265,0.096438494,-0.017779633,-0.191281744,0.703424214,-1.683123226,-20.49766899,1.709396888,32.28553355
12/5/2016,0.080639568,-0.025051513,0.03369345,-0.203612411,0.630225301,-1.676396328,-20.47857109,1.712576168,32.27364
12/2/2016,-0.087198107,-0.049646984,0.058333463,-0.2062606,0.558330036,-1.669249647,-20.45883676,1.715811891,32.26157384
12/1/2016,0.091310452,0.040308698,0.029924472,-0.199569128,0.488305998,-1.661679303,-20.43846901,1.71910343,32.24933553
11/30/2016,-0.090134039,0.010792982,-0.027352972,-0.185081146,0.420695102,-1.653681414,-20.41747089,1.722450156,32.23692551
11/29/2016,0.054531412,-0.043889476,-0.068351967,-0.16454503,0.356014064,-1.645252098,-20.39584541,1.725851441,32.22434421
11/28/2016,0.074673873,-0.044639335,-0.05206546,-0.139355558,0.294756132,-1.636387474,-20.37359562,1.729306658,32.21159208
11/25/2016,-0.06494207,0.029845215,0.022163908,-0.109576984,0.237404539,-1.62708366,-20.35072454,1.732815178,32.19866956
11/23/2016,-0.027379887,0.051332262,0.093452623,-0.074914797,0.184413888,-1.617336774,-20.32723521,1.736376373,32.18557709
11/22/2016,0.052620814,0.011057164,0.101698438,-0.035035927,0.136200217,-1.607142934,-20.30313065,1.739989616,32.17231512
11/21/2016,-0.053426763,-0.061150557,0.045482192,0.009736665,0.093161249,-1.59649826,-20.27841389,1.743654277,32.15888409
11/18/2016,0.060126775,-0.008082796,-0.052574343,0.056439747,0.05563758,-1.58539887,-20.25308797,1.747369731,32.14528444
11/17/2016,-0.072455552,0.092171134,-0.136776141,0.101511367,0.023894173,-1.573840881,-20.22715592,1.751135347,32.13151661
11/16/2016,0.085941001,0.013902034,-0.144255734,0.141832805,-0.00179761,-1.561818993,-20.20062076,1.754950499,32.11758105
